CODEBUCH,
,
,
Wert,Kommentar
edgelist,
from,von welchem Verein kommt der Spieler
to ,ID des Spielers (Rückennummer)
weight,Transfersumme in 100.000 Euro Schritten
season,Jahr des Transfers (erste Jahreszahl der Saison)
,
nodelist,
id,Rückennumer oder Vereinsname (Abkürzung) oder Land
name,Spieler oder Vereinsname (vollständig)
country,Land
type,"1 = Spieler, 2 = Verein"
,
,
,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus.."
