from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart II,42,0,2021
Arsenal,5,30,2022
Hannover,2,40,2020
Iwata,37,1,2021
Zagreb,24,60,2018
Freiburg,15,13,2020
Anderlecht,23,18,2017
Truiden,3,17,2020
Kiel,16,8,2019
Juventus,32,15,2021
Chelsea,6,4,2019
Monaco,8,"17,5",2021
Koeln,28,0,2019
Paris,14,80,2019
Bielefeld,30,25,2018
Augsburg,11,5,2017
Sandhausen,20,30,2019
Cordoba,31,17,2019
Stuttgart U19,25,0,2020
Fenerbahce,34,0,2021
Wolfsburg,10,0,2018
Paris SG,7,0,2019
Paderborn,22,25,2021
Admira Wacker,9,"17,5",2019
Lissabon,18,5,2021
Wolfsburg,17,0,2021
Vejle,19,45,2021
Stuttgart U19,50,0,2021
Stuttgart II,44,0,2021
1,Deutschland,,
33,Deutschland,,
42,Deutschland,,
5,Griechenland,,
2,Deutschland,,
37,Japan,,
24,Kroatien,,
15,Deutschland,,
23,Belgien,,
3,Japan,,
16,Deutschland,,
32,Frankreich,,
6,England,,
8,Frankreich,,
28,Daenemark,,
14,DR Kongo,,
30,Deutschland,,
11,Deutschland,,
20,Deutschland,,
31,Deutschland,,
25,Deutschland,,
34,Tuerkei,,
10,Deutschland,,
7,Frankreich,,
22,Deutschland,,
9,Oesterreich,,
18,Portugal,,
17,Aegypten,,
19,Daenemark,,
50,Frankreich,,
44,Niederlande,,
2,Usbekistan,,
24,Deutschland,,
23,DR Kongo,,
32,Komoren,,
6,DR Kongo,,
8,Martinique,,
28,Ghana,,
30,Italien,,
31,Argentinien,,
10,Benin,,
7,Elfenbeinkueste,,
9,Serbien,,
17,Kanada,,
19,Afghanistan,,
50,Kamerun,,
44,Sierra Leone,,
