id,name,country,type
1,Florian Müler,Deutschland,1
33,Fabian Bredow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Dänemark,1
14,Silas Katompa Mvumpa,DR Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Förster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Ömer Beyaz,Türkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Führich,Deutschland,1
9,Sasa Kalajdzic,Österreich,1
18,Tiago Tomás,Portugal,1
17,Omar Marmoush,Ägypten,1
19,Wahid Faghir,Dänemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
Mainz,Mainz 05,Deutschland,2
Nürnberg,FC Nürnberg,Deutschland,2
Arsenal,FC Arsenal,England,2
Stuttgart II,VfB Stuttgart II,Deutschland,2
Hannover,Hannover 96,Deutschland,2
Iwata,Júbilo Iwata,Japan,2
Zagreb,Dinamo Zagreb,Kroatien,2
Freiburg,SC Freiburg,Deutschland,2
Anderlecht,RSC Anderlecht U21,Belgien,2
Truiden,VV St. Truiden,Belgien,2
Kiel,Holstein Kiel,Deutschland,2
Juventus,Juventus U23,Italien,2
Chelsea,FC Chelsea U23,England,2
Monaco,AS Monaco,Frankreich,2
Köln,1.FC Köln,Deutschland,2
Paris,Paris FC,Frankreich,2
Bielefeld,Arm. Bielefeld U 19,Deutschland,2
Augsburg,FC Augsburg,Deutschland,2
Sandhausen,SV Sandhausen,Deutschland,2
Córdoba,Instituto AC,Argentinien,2
Stuttgart U19,VfB Stuttgart U19,Deutschland,2
Fenerbahce,Fenerbahce,Türkei,2
Wolfsburg,VfL Wolfsburg,Deutschland,2
Paris SG,Paris SG U19,Frankreich,2
Paderborn,SC Paderborn,Deutschland,2
Admira Wacker,FC Admira Wacker Mödling,Österreich,2
Lissabon,Sporting Lissabon,Portugal,2
Vejle,Vejle Boldklub,Dänemark,2
